TEI,container
ab,content
abbr,content
abstract,container
accMat,content
acquisition,content
activity,content
actor,content
add,content
addName,content
addSpan,container
additional,container
additions,content
addrLine,content
address,container
adminInfo,container
affiliation,content
age,content
alt,container
altGrp,container
altIdent,content
altIdentifier,container
alternate,container
am,content
analytic,container
anchor,container
annotation,container
annotationBlock,container
anyElement,container
app,container
appInfo,container
application,container
arc,container
argument,container
att,content
attDef,container
attList,container
attRef,container
author,content
authority,content
availability,container
back,container
bibl,content
biblFull,container
biblScope,content
biblStruct,container
bicond,container
binary,container
binaryObject,content
binding,container
bindingDesc,container
birth,content
bloc,content
body,container
broadcast,container
byline,content
c,content
cRefPattern,container
caesura,container
calendar,container
calendarDesc,container
camera,content
caption,content
case,content
castGroup,container
castItem,content
castList,container
catDesc,content
catRef,container
catchwords,content
category,container
cb,container
cell,content
certainty,container
change,content
channel,content
char,container
charDecl,container
choice,container
cit,container
citeData,container
citeStructure,container
citedRange,content
cl,content
classCode,content
classDecl,container
classRef,container
classSpec,container
classes,container
climate,container
closer,content
code,content
collation,content
collection,content
colloc,content
colophon,content
cond,container
condition,content
constitution,content
constraint,content
constraintSpec,container
content,container
conversion,container
corr,content
correction,container
correspAction,container
correspContext,container
correspDesc,container
country,content
creation,content
custEvent,content
custodialHist,container
damage,content
damageSpan,container
dataFacet,container
dataRef,container
dataSpec,container
datatype,container
date,content
dateline,content
death,content
decoDesc,container
decoNote,content
def,content
default,container
defaultVal,content
del,content
delSpan,container
depth,content
derivation,content
desc,content
dictScrap,content
dim,content
dimensions,container
distinct,content
distributor,content
district,content
div,container
div1,container
div2,container
div3,container
div4,container
div5,container
div6,container
div7,container
divGen,container
docAuthor,content
docDate,content
docEdition,content
docImprint,content
docTitle,container
domain,content
eLeaf,container
eTree,container
edition,content
editionStmt,container
editor,content
editorialDecl,container
education,content
eg,content
egXML,content
elementRef,container
elementSpec,container
ellipsis,container
email,content
emph,content
empty,container
encodingDesc,container
entry,container
entryFree,content
epigraph,container
epilogue,container
equipment,container
equiv,container
etym,content
event,container
ex,content
exemplum,container
expan,content
explicit,content
extent,content
f,content
fDecl,container
fDescr,content
fLib,container
facsimile,container
factuality,content
faith,content
figDesc,content
figure,container
fileDesc,container
filiation,content
finalRubric,content
floatingText,container
floruit,content
foliation,content
foreign,content
forename,content
forest,container
form,content
formula,content
front,container
fs,container
fsConstraints,container
fsDecl,container
fsDescr,content
fsdDecl,container
fsdLink,container
funder,content
fvLib,container
fw,content
g,content
gap,container
gb,container
gen,content
genName,content
gender,content
geo,content
geoDecl,content
geogFeat,content
geogName,content
gi,content
gloss,content
glyph,container
gram,content
gramGrp,content
graph,container
graphic,container
group,container
handDesc,container
handNote,content
handNotes,container
handShift,container
head,content
headItem,content
headLabel,content
height,content
heraldry,content
hi,content
history,container
hom,container
hyph,content
hyphenation,container
iNode,container
iType,content
ident,content
idno,content
if,container
iff,container
imprimatur,content
imprint,container
incident,container
incipit,content
index,container
institution,content
interaction,content
interp,content
interpGrp,container
interpretation,container
item,content
join,container
joinGrp,container
keywords,container
kinesic,container
l,content
label,content
lacunaEnd,container
lacunaStart,container
lang,content
langKnowledge,container
langKnown,content
langUsage,container
language,content
layout,content
layoutDesc,container
lb,container
lbl,content
leaf,container
lem,content
lg,container
licence,content
line,content
link,container
linkGrp,container
list,container
listAnnotation,container
listApp,container
listBibl,container
listChange,container
listEvent,container
listForest,container
listNym,container
listObject,container
listOrg,container
listPerson,container
listPlace,container
listPrefixDef,container
listRef,container
listRelation,container
listTranspose,container
listWit,container
localProp,container
locale,content
location,container
locus,content
locusGrp,container
m,content
macroRef,container
macroSpec,container
mapping,content
material,content
measure,content
measureGrp,content
media,container
meeting,content
memberOf,content
mentioned,content
metDecl,container
metSym,content
metamark,content
milestone,container
mod,content
model,container
modelGrp,container
modelSequence,container
moduleRef,container
moduleSpec,container
monogr,container
mood,content
move,container
msContents,container
msDesc,container
msFrag,container
msIdentifier,container
msItem,container
msItemStruct,container
msName,content
msPart,container
musicNotation,content
name,content
nameLink,content
namespace,container
nationality,content
node,container
normalization,container
notatedMusic,container
note,content
noteGrp,container
notesStmt,container
num,content
number,content
numeric,container
nym,container
oRef,content
object,container
objectDesc,container
objectIdentifier,container
objectName,content
objectType,content
occupation,content
offset,content
opener,content
org,container
orgName,content
orig,content
origDate,content
origPlace,content
origin,content
orth,content
outputRendition,content
p,content
pRef,content
param,container
paramList,container
paramSpec,container
particDesc,container
path,container
pause,container
pb,container
pc,content
per,content
performance,container
persName,content
persPronouns,content
person,container
personGrp,container
persona,container
phr,content
physDesc,container
place,container
placeName,content
population,container
pos,content
postBox,content
postCode,content
postscript,container
precision,container
prefixDef,container
preparedness,content
principal,content
profileDesc,container
projectDesc,container
prologue,container
pron,content
provenance,content
ptr,container
pubPlace,content
publicationStmt,container
publisher,content
punctuation,container
purpose,content
q,content
quotation,container
quote,content
rb,content
rdg,content
rdgGrp,container
re,content
recordHist,container
recording,container
recordingStmt,container
redo,container
ref,content
refState,container
refsDecl,container
reg,content
region,content
relatedItem,container
relation,container
remarks,container
rendition,content
repository,content
residence,content
resp,content
respStmt,container
respons,container
restore,content
retrace,content
revisionDesc,container
rhyme,content
role,content
roleDesc,content
roleName,content
root,container
row,container
rs,content
rt,content
rubric,content
ruby,container
s,content
said,content
salute,content
samplingDecl,container
schemaRef,container
schemaSpec,container
scriptDesc,container
scriptNote,content
scriptStmt,container
seal,container
sealDesc,container
secFol,content
secl,content
seg,content
segmentation,container
sense,content
sequence,container
series,content
seriesStmt,container
set,container
setting,container
settingDesc,container
settlement,content
sex,content
shift,container
sic,content
signatures,content
signed,content
soCalled,content
socecStatus,content
sound,content
source,content
sourceDesc,container
sourceDoc,container
sp,container
spGrp,container
space,container
span,content
spanGrp,container
speaker,content
specDesc,container
specGrp,container
specGrpRef,container
specList,container
sponsor,content
stage,content
stamp,content
standOff,container
state,container
stdVals,container
street,content
stress,content
string,content
styleDefDecl,container
subc,content
subst,container
substJoin,container
summary,content
superEntry,container
supplied,content
support,content
supportDesc,container
surface,container
surfaceGrp,container
surname,content
surplus,content
surrogates,content
syll,content
symbol,container
table,container
tag,content
tagUsage,content
tagsDecl,container
taxonomy,container
tech,content
teiCorpus,container
teiHeader,container
term,content
terrain,container
text,container
textClass,container
textDesc,container
textLang,content
textNode,container
then,container
time,content
timeline,container
title,content
titlePage,container
titlePart,content
titleStmt,container
tns,content
trailer,content
trait,container
transcriptionDesc,container
transpose,container
tree,container
triangle,container
typeDesc,container
typeNote,content
u,content
unclear,content
undo,container
unicodeProp,container
unihanProp,container
unit,content
unitDecl,container
unitDef,container
usg,content
vAlt,container
vColl,container
vDefault,container
vLabel,container
vMerge,container
vNot,container
vRange,container
val,content
valDesc,content
valItem,container
valList,container
variantEncoding,container
view,content
vocal,container
w,content
watermark,content
when,container
width,content
wit,content
witDetail,content
witEnd,container
witStart,container
witness,content
writing,content
xenoData,content
xr,content
zone,content
